0 250130
1000 232545
2000 218213
3000 206242
4000 196047
5000 187228
6000 179501
7000 172658
8000 166543
9000 161034
10000 156039
11000 151481
12000 147300
13000 143448
14000 139883
15000 136571
16000 133483
17000 130596
18000 127889
19000 125343
20000 122944
21000 120677
22000 118531
23000 116496
24000 114562
25000 112721
26000 110966
27000 109291
28000 107690
29000 106156
30000 104687
31000 103277
32000 101922
33000 100619
34000 99365.3
35000 98157.1
36000 96991.9
37000 95867.2
38000 94780.7
39000 93730.4
40000 92714.2
41000 91730.4
42000 90777.3
43000 89853.2
44000 88956.8
45000 88086.8
46000 87241.7
47000 86420.5
48000 85622.1
49000 84845.4
50000 84089.5
51000 83353.4
52000 82636.3
53000 81937.5
54000 81256
55000 80591.3
56000 79942.6
57000 79309.3
58000 78690.9
59000 78086.7
60000 77496.2
